id,de,fr,it,en,website,categoryIds,regionId,from,to,total,total_source,environment,environment_source,energy,energy_source,environment;energy,environment_energy_source
23,Ressortforschung Eisenbahnlärm,Recherche de l’administration sur le bruit des chemins de fer,Ricerca sul rumore del traffico ferroviario,Administration research for railway noise,https://www.bafu.admin.ch/bafu/de/home/themen/laerm/fachinformationen/massnahmen-gegen-laerm/massnahmen-gegen-eisenbahnlaerm/ressortforschung-eisenbahnlaerm.html,1,0,2.3,3.7,2000000,"2016, Eisenbahnausbauprogramme Standbericht 2016. (2017). (p. 36). BAV.",2000000,,0,,0,
24,Societal challenges,Societal challenges,Societal challenges,Societal challenges,https://ec.europa.eu/programmes/horizon2020/en/h2020-section/societal-challenges,0,1,1,3.7,5087880000,"Average 2014-2020, Regulation (EU) No 1291/2013. (2013). (p. 173). Council of the European Union.",528188570.4,,1016777142,,0,
25,Access to risk finance,Access to risk finance,Access to risk finance,Access to risk finance,https://ec.europa.eu/programmes/horizon2020/en/h2020-section/access-risk-finance,0,1,4,6,487200000,"Average 2014-2020, Regulation (EU) No 1291/2013. (2013). (p. 173). Council of the European Union.",0,,0,,0,
26,BLW Ressourcenprogramm,OFAG Programme d’utilisation durable des ressources,UFAG Programma sulle risorse,FOAG Ressource programm,https://www.blw.admin.ch/blw/de/home/instrumente/ressourcen--und-gewaesserschutzprogramm/ressourcenprogramm.html,1,0,3.5,4.5,7406021,"2016, Agrarbericht 2017 - Ressourcenprogramm-Beiträge. (n.d.). Agrarbericht.ch.",7406021,"2016, Agrarbericht 2017 - Ressourcenprogramm-Beiträge. (n.d.). Agrarbericht.ch.",0,,0,
27,BFI-Hochschulbeitrag,Contributions aux hautes écoles (FRI),Contributo alle scuole universitarie (ERI),University contribution (ERI),https://www.sbfi.admin.ch/sbfi/de/home/das-sbfi/bfi-2017-2020.html,0,0,0,2.1,3618000000,"Average 2012-2016, Botschaft zur Förderung von Bildung, Forschung und Innovation in den Jahren 2017–2020. (2016). (p. 3095). SBFI.",500100000,"2016, Forschungskonzept Umwelt für die Jahre 2021–2024. (2017). (p. 13). BAFU.",140750000,"2016, Botschaft zum Aktionsplan «Koordinierte Energieforschung Schweiz» – Massnahmen in den Jahren 2013–2016. (2012). (p. 9049). Bundesrat.",0,
28,European Research Council ERC,European Research Council ERC,European Research Council ERC,European Research Council ERC,https://erc.europa.eu/,0,1,0.2,1.2,2244840000,"Average 2014-2020, Regulation (EU) No 1291/2013. (2013). (p. 173). Council of the European Union.",200000000,"2017, Angebote der Innovationsförderung im Energiebereich für Schweizer Firmen und Forschungsinstitute. (2017). . BFE.",200000000,"2017, Angebote der Innovationsförderung im Energiebereich für Schweizer Firmen und Forschungsinstitute. (2017). . BFE.",0,
29,Swiss Bluetec Bridge,Swiss Bluetec Bridge,Swiss Bluetec Bridge,Swiss Bluetec Bridge,https://swissbluetecbridge.ch/,1,0,4.55,5.55,250000,"2016, «Swiss Bluetec Bridge»: Schweizer Start-up-Unternehmen im Dienst der Ärmsten. (2017). Eda.admin.ch.",250000,,0,,0,
30,Technologiefonds,Fonds de technologie,Fondo per le tecnologie,Technology Fund,http://www.technologiefonds.ch/,"1,2",0,4,5.3,25000000,"2016, Technologiefonds Jahresrückblick 2016. (2017). (p. 3). Geschäftsstelle Technologiefonds.",0,,0,,25000000,
31,Forschung und Entwicklung Umwelt BAFU,Recherche et développement de l'environnement OFEV,Ricerca e sviluppo ambientale UFAM,Environmental research and development  FOEN,https://www.bafu.admin.ch/bafu/de/home/themen/bildung/umweltforschung.html,1,0,1,2.15,6433342,"2016, Staatsrechnung 2016 2A. (2017). (p. 184). EFV.",6433342,,0,,0,
32,SNF Andere,FNS Autres,FNS Diversi,SNSF Others,http://www.snf.ch/de/foerderung/Seiten/default.aspx,0,0,0.5,1.1,180149000,"2016, Jahresbericht/Profil 2016-2017. (2017). (p. 33). SNF.",24298346,"2016, Forschungskonzept Umwelt für die Jahre 2021–2024. (2017). (p. 13). BAFU.",12000000,"2016, Botschaft zum Aktionsplan «Koordinierte Energieforschung Schweiz» – Massnahmen in den Jahren 2013–2016. (2012). (p. 9046). Bundesrat.",0,
33,Future and Emerging Technologies FET,Future and Emerging Technologies FET,Future and Emerging Technologies FET,Future and Emerging Technologies FET,http://ec.europa.eu/programmes/horizon2020/en/h2020-section/future-and-emerging-technologies,0,1,0,4,462240000,"Average 2014-2020, Regulation (EU) No 1291/2013. (2013). (p. 173). Council of the European Union.",160000000,"2017, Angebote der Innovationsförderung im Energiebereich für Schweizer Firmen und Forschungsinstitute. (2017). . BFE.",110000000,"2017, Angebote der Innovationsförderung im Energiebereich für Schweizer Firmen und Forschungsinstitute. (2017). . BFE.",0,
34,Research infrastructures,Research infrastructures,Research infrastructures,Research infrastructures,https://ec.europa.eu/programmes/horizon2020/en/area/research-infrastructures,0,1,0,3,426480000,"Average 2014-2020, Regulation (EU) No 1291/2013. (2013). (p. 173). Council of the European Union.",55000000,"2017, Angebote der Innovationsförderung im Energiebereich für Schweizer Firmen und Forschungsinstitute. (2017). . BFE.",50000000,"2017, Angebote der Innovationsförderung im Energiebereich für Schweizer Firmen und Forschungsinstitute. (2017). . BFE.",0,
